title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
My Golden Life,"Hwanggeumbit Nae Insaeng, Minha Vida de Ouro, Viața Mea Prețioasă","25 years ago, the Haesung Group lost their granddaughter Choi Eun Seok. The girl was found and raised by Seo Tae Su as one of his twin daughters, Seo Ji An and Seo Ji Su. They grew up rich, but their father was bankrupt, and they had to experience the hard life of a dirt spoon. Ji An is now a contract worker at Haesung Group who would do anything for a  job, while Ji Su is an air-headed part-timer who has a one-sided crush on Seon U Hyeok. Unknown to her, U Hyeok was in love with Ji An in high school.

Choi Do Gyeong is Haesung Group's oldest grandson. He is gentle and kind, but being too good yet still single makes his employees spread weird rumors about him. He meets Ji An in a car accident and comes to know her sad situation, but his biggest shock is when his mother reveals that his lost sister is Ji An.

(Source: IMDb)    Edit Translation         English     Português (Brasil)     Română     Español",KBS2,South Korea,"Business, Comedy, Romance, Drama",7.9,5224,02/09/2017,"Rich Man/Poor Woman, Rich Male Lead, Depression, Father-Daughter Relationship, Nice Male Lead, Badass Female Lead, Smart Female Lead, Forbidden Love, Smart Male Lead, Sibling Rivalry","Park Si Hoo, Shin Hae Sun, Seo Eun Soo, Lee Tae Hwan, Lee Da In, Lee Tae Sung",So Hyun-kyung,Kim Hyung-seok,52,"2017, 2018",_
My Happy Ending,"Haepiendeu, Happy End, Meu Final Feliz, My Happy End, Naeui Haepiendeu, 해피엔드","Seo Jae Won, a successful CEO and social media influencer, has a perfect life with a loving husband, Heo Soon Young, and a thriving business. She hires designer Yoon Teo as the general manager of design. Meanwhile, Kwon Yun Jin, a former university classmate of Jae Won, struggles with a divorce and fading career. As she reconnects with Jae Won, jealousy takes root. Jae Won's world unravels as she faces betrayal and  uncovers hidden secrets from those she trusts.

(Source: MyDramaList)    Edit Translation         English     한국어     中文(简体)     Türkçe",TV Chosun,South Korea,"Thriller, Mystery, Psychological, Drama",7.7,3904,30/12/2023,"Revenge, Fake Friend, Secret, Suspense, Investigation, Domestic Crime, Crime Against Morality, Emotionally Strong Female Lead, Evil Friend, Jealous Friend","Jang Na Ra, Son Ho Jun, So Yi Hyun, Lee Ki Taek, Kim Hong Pa, Park Ho San",_,_,_,_,_
My Happy Ending (TV series),_,"Seo Jae-won (Jang Na-ra) is fortunate to have a near perfect personal and work life. She is the CEO of a furniture company that makes millions of dollars in sales annually, and she is also a social media influencer with over a million followers. She scouts a designer, Yoon Tae-oh (Lee Ki-taek), to become the general manager of design at her company. In her personal life, Jae-Won has her beloved husband Heo Soon-young (Son Ho-jun) and their lovely child. Soon-young works as a freelancer designer and a professor in industrial design. He is a warm-hearted person who hardly ever bursts out in anger. After their marriage, Soon-Young prioritizes his family over everything else.",TV Chosun,_,"Psychological drama, Thriller, Mystery",_,_,"December 30, 2023 –
February 25, 2024",_,"Jang Na-ra, Son Ho-jun, So Yi-hyun, Lee Ki-taek, Kim Hong-pa, Park Ho-san",Baek Seon-hee,"Jo Soo-won, Kim Sang-hoon",16,"2023, 2024",_
My Healing Love,_,Im Chi-woo (So Yoo-jin) is someone who always bravely faces challenges that are thrown in her life.,MBC TV,_,"Drama, Romantic comedy, Family",_,_,"October 14, 2018 –
March 3, 2019",_,"So Yoo-jin, Yeon Jung-hoon, Yoon Jong-hoon",Won Young-ok,Kim Sung-yong,80,"2018, 2019",_
My Heart Twinkle Twinkle,"Jangsaui Shin Lee Soong Jung, Lee Soon Jung, the Goddess of Sales, My heart is twinkeling, Nae Maeum Banjjakbanjjak","Soon Jin's father owns chicken restaurant Jinshim. She has two younger sisters: Soon Soo and Soon Jung. Since her mother died, Soon Jin has taken care of her father and her two younger sisters. She now also runs their chicken restaurant Jinshim. Soon Jin must worry about rival chicken restaurant, Woontak, run by a cold-blooded man.
Soon Soo is the middle daughter. She has an attractive appearance and plays the piano well.  Due to breaking up with her first love and her poor family background, she feels miserable.
Soon Jung is the youngest daughter. She is proud of her father. She becomes involved with two men: Soon Cheol and Do Hoon.    Edit Translation         English     magyar / magyar nyelv     dansk     Norsk",SBS,South Korea,"Romance, Drama, Family, Melodrama",7.1,824,17/01/2015,"Multiple Couples, Obsessive Male Lead, Possessive Male Lead, Death, Power Struggle, Unrequited Love, Evil In-Law, Antihero Male Lead, Death of a Mother, Company President (CEO) Male Lead","Jang Shin Young, Bae Soo Bin, Nam Bo Ra, Lee Tae Im, Lee Pil Mo, Oh Chang Seok",Jo Jung-sun,"Oh Se-kang, Kim Yoo-jin",26,2015,_
My Holo Love,"Holo, Meu Amor, Holo, mi Amor, Holograma Mea Iubită, Hologramowa Miłość, I am Alone, I Holo You, I'm Alone, Me Alone and You, Moje Holo láska, My Intelligent Lover, Na Hollo Geudae, You, Holo, and Me, Моя любовь, Холо, أحببت هولوغرام, 너와 나 혼자 야","Han So Yeon, a lonely assistant manager at a glasses company, excels in her career but struggles with prosopagnosia, the inability to recognize faces. Her life changes when she encounters the AI “Holo.” Go Nan Do, a reclusive genius and the true creator of Holo, lives in hiding after faking his death following a major hacking case 10 years ago. Their lives intertwine in a tale of loneliness and love.

(Source: MyDramaList)      Edit Translation         English     中文(台灣)     Arabic     Русский",Netflix,South Korea,"Romance, Drama, Sci-Fi, Melodrama",8.1,38915,07/02/2020,"Artificial Intelligence, Hologram, Prosopagnosia, Nice Female Lead, Hardworking Female Lead, Hidden Identity, Rich Male Lead, Love Triangle, Brother-Sister Relationship, Flashback To Past","Yoon Hyun Min, Go Sung Hee, Choi Yeo Jin, Hwang Chan Sung, Lee Jung Eun, Kang Seung Hyun","Ryu Yong-jae, Kim Hwan-chae, Choi Sung-joon","Lee Sang-yeop, Yoon Jong-ho",12,2020,_
My Horrible Boss,_,"Marketing Department Manager, Nam Jung-gi (Yoon Sang-hyun) is so nice that his colleagues call him ""Father Theresa"" and ""Walking UNICEF"". There is nothing that can ruffle Jung-gi's feathers but his new coworker from their main competition, Ok Da-jeong (Lee Yo-won), who is so nasty she's been nicknamed ""Ms. Temper"", and isn't impressed with Jung-gi's affable nature. A figure from Ok Da-jeong's past makes it his mission to destroy the one thing that she cares about, and puts the company's livelihood on the line. Despite their differences, will they be able to unite to save their company?",JTBC,_,"Romantic comedy, Drama",_,_,"March 18 –
May 7, 2016",_,"Lee Yo-won, Yoon Sang-hyun",Joo Hyun,Lee Hyung-min,16,2016,_
My Husband Got a Family,"Look At Me Gwi Nam, Meu Marido Tem Uma Família, Neongkooljjae Goolleoon Dangsin, Neongkuljjae Gulleoon Danshin, Unexpected You, You Tumbled Into My Life, You Who Rolled In Unexpectedly, You're a Stroke of Good Luck, 날 봐 귀남","Cha Yoon Hee, a successful TV drama producer, fears having in-laws and seeks a man with no family ties. She meets Terry, a kind doctor who was adopted as a child, and believes her marital life is set. However, her happiness is shattered when Terry finds his birth parents, who turn out to be her next-door neighbors, complete with three sisters-in-law and the usual array of in-laws.

(Source: MyDramaList)      Edit Translation         English     हिन्दी     magyar / magyar nyelv     dansk",KBS2,South Korea,"Comedy, Romance, Life, Drama",7.9,1210,25/02/2012,"Family Relationship, Multiple Mains, Multiple Couples, Searching For A Child, Married Life, Grandma-Grandson Relationship, Family Reunion, Older Man/Younger Woman, Baking, Infidelity","Kim Nam Joo, Yoo  Joon Sang, Youn Yuh Jung, Kang Boo Ja, Jang Yong, Yang Jung Ah",Park Ji-eun,Kim Hyung-suk,58,2012,_
My Husband Oh Jak Doo,"Derel Husband Odo, Derilnampyun Ohjakdoo, Meu Marido Oh Jak Doo, My Contracted Husband, Mr. Oh, My Husband Oh Jak-doo, My Husband, Mr.Oh!, Мой муж О Чжак Ду, 上门丈夫吴作斗","Han Seung Joo has chosen to stay single. She cannot afford to get married, nor is she confident that she wants to. However, certain events transpire which cause her to fear being alone, and she finds herself needing the safety and status that only the perception of a marriage can bring. Seung Joo decides to hire a man to be a stand-in husband, and the man she chooses is Oh Jak Doo.  Through meeting Oh Jak Doo, will Han Seung Joo find true love and happiness?    Edit Translation         English     한국어     中文(简体)     Русский",MBC,South Korea,"Comedy, Romance, Drama, Melodrama",7.5,3268,03/03/2018,"Contract Relationship, Trauma, Countryside Setting, Rural Life, Fake To Real Lovers, Naive Male Lead, Family Pressure, Emotionally Strong Female Lead, Emotionally Strong Male Lead, Age Gap [Real Life]","Kim Kang Woo, Uee, Jung Sang Hoon, Han Sun Hwa, Jung  Soo Young, Park Min Ji",_,_,_,_,_
My Husband's Woman,"My Man's Woman, My Husband's Lover","Ji-soo (Bae Jong-ok) is an unassuming housewife leading a happy life with her college professor husband Joon-pyo (Kim Sang-joong) and their son Kyung-min (Park Ji-bin). But trouble lurks when Ji-soo's widowed friend Hwa-young (Kim Hee-ae) accompanies Ji-soo and her family on a trip and secretly begins a love affair with Joon-pyo. One day, Ji-soo hosts a barbeque party at her house and invites Hwa-young and her sister Eun-soo (Ha Yoo-mi). Besieged by passion, Hwa-young and Joon-pyo end up making out inside the kitchen, but soon get caught red-handed by Eun-soo. Shocked and sickened to her stomach, yet nervous about what her fragile sister might do if she ever finds out, Eun-soo threatens Hwa-young and Joon-pyo to end the affair immediately. But truth has a way of slipping out, and Ji-soo's perfect life comes crashing down when she learns that her husband is having an affair with her friend. In the aftermath of the revelation, the psychological warfare begins, and to retaliate, Ji-soo decides to have an affair herself with her old college friend Seok Joon (Lee Jong-won).",SBS TV,_,_,_,_,"2 April –
19 June 2007",_,"Kim Hee-ae, Bae Jong-ok, Kim Sang-joong",Kim Soo-hyun,Jung Eul-young,24,2007,_
My ID Is Gangnam Beauty,"ID: Gangnam Beauty, Nae Aidineun Gangnammiin, Nae IDneun Gangnammiin","It tells the story of Kang Mi Rae, a girl once bullied for her looks. As a result, she became insecure, cautious around people and withdrawn. However, Mi Rae decides she wants a fresh start away from bullying and gets plastic surgery to transform her face. When she begins university, she meets Do Gyeong Seok from their middle school days, who sees people for what they are on the inside and not  the outside; he then becomes attracted to Kang Mi Rae. 

As Mi Rae begins to get teased once more and labeled ""Gangnam Beauty"", the cold, aloof but kind inside Gyeong Seok becomes the one person that stands up for her, and in the process, Mi Rae begins to recover her lost confidence and discovers that true beauty is not on the outside.

(Source: AJ at MyDramaList)

~~ Adapted from the webtoon “My ID Is Gangnam Beauty” (내 ID는 강남미인!) by Gi Maeng Gi (기맹기).    Edit Translation         English     한국어     中文(简体)     ภาษาไทย",jTBC,South Korea,"Psychological, Romance, Youth, Drama",7.7,91269,27/07/2018,"Beauty Standards, Nice Female Lead, Plastic Surgery, Male Chases Female First, Age Gap [Real Life], Nice Male Lead, Adapted from a Webtoon, School Bullying, Calm Male Lead, Slow Burn Romance","Im Soo Hyang, Cha Eun Woo, Jo Woo Ri, Kwak Dong Yeon, Park Joo Mi, Park Sung Geun",_,_,_,_,_
My Kids Give Me a Headache,_,"""My Kids Give Me a Headache"" is a television series that delves into the multigenerational dynamics of a family, spanning parents, three sons, three daughters-in-law, and their children.",jTBC,_,Family drama,_,_,"27 October 2012 –
17 March 2013",_,"Lee Soon-jae, Kim Hae-sook, Yoo Dong-geun, Uhm Ji-won",Kim Soo-hyun,Jung Eul-young,40,"2012, 2013",_
"My Lawyer, Mr. Jo","Dongnebyeonhosa Jo Deul Ho, Dongnebyunhosa Jodeulho, Meu Advogado, Sr. Jo, Mr. Jo, My Lawyer, Mr. Joe, Neighborhood Lawyer Jo Deul-Ho, The Neighbourhood Attorney Jo Deul Ho","Once a star prosecutor with a bright future, Jo Deul Ho loses everything after becoming a whistleblower against the intolerable corruption he witnesses. He instead rebuilds his life as a lawyer at a small neighborhood law practice, committed to justice and protecting the innocent.      Edit Translation         English     magyar / magyar nyelv     dansk     Norsk",KBS2,South Korea,"Mystery, Comedy, Law",7.8,1283,28/03/2016,"Adapted from a Webtoon, Investigation, Emotionally Strong Female Lead, Law Firm Setting, Criminal Justice System, Lawyer Male Lead, Wrongfully Accused, Death","Park Shin Yang, Kang So Ra, Park Sol Mi, Ryu Soo Young, Heo Jung Eun, Kang Shin Il",Lee Hyang-hee,"Lee Jeong-seob, Lee Eun-jin",20,2016,_
"My Lawyer, Mr. Jo 2: Crime and Punishment","My Lawyer, Mr. Jo 2","The sequel fast forward to 2019, returning with Jo Deul-ho, a once prosecutor turned lawyer, who is currently unemployed.",KBS2,_,Legal drama,_,_,"January 7 –
March 26, 2019",_,"Park Shin-yang, Go Hyun-jung",Choi Wan-gyu,Han Sang-woo,40,2019,_
My Liberation Notes,"My Liberation Days, My Liberation Diary, My Liberation Journal, Naeui Haebangilji, Naui Haebangilji","Set in Sanpo Village where more people leave than remain, the three Yeom siblings, Chang Hee, Mi Jung, and Ki Jung, wish to escape from a life rife with uncertainty.

 A mysterious man, Mr. Goo, moves into their neighbourhood. He is a drunkard with the look of someone with many burdens and secrets. His cautious personality and preference for keeping to himself make him the subject of gossip. Mi Jung, the youngest  and most timid Yeom sibling, decides to approach him. 

(Source: Namu Wiki, Pinkvilla)    Edit Translation         English     中文(台灣)     Arabic     Русский",jTBC,South Korea,"Romance, Life, Drama, Melodrama",8.5,27499,09/04/2022,"Slow Burn Story, Loneliness, Introverted Female Lead, Family Relationship, Slow Burn Romance, Alcoholism, Alcoholic Male Lead, Inner Monologue, Introverted Male Lead, Multiple Couples","Lee Min Ki, Kim Ji Won, Son Suk Ku, Lee El, Lee Ki Woo, Cheon Ho Jin",Park Hae-young,Kim Seok-yoon,16,2022,_
My Little Baby,"mai li-teul bei-bi, Mai Liteul Beibi, Minha Bebezinha, Мой малыш","Cha Jung Han is a detective for a special investigation team. He is busy with investigating violent cases including drugs and gangs, but one day he takes in his niece Eun Ae and struggles to raise her.

Han Ye Seul is a single mother who raises her 5-year-old son alone. She is Cha Jung Han’s first love.      Edit Translation         English     Русский     Español     Türkçe",MBC,South Korea,"Comedy, Romance, Family",7.4,1710,05/03/2016,"Neighbors' Relationship, Character Development, Bromance, Detective Male Lead, Single Father Male Lead, Single Mother Female Lead, Second Chance Romance, Friendship","Oh Ji Ho, Lee Soo Kyung, Kim Min Jae, Nam Ji Hyun, Jung  Soo Young, Go Soo Hee","Kim Yoon-Hee, Lee Eun-yeong","Han Cheol-soo, Lee Soo-ok",16,2016,_
My Love By My Side,My Love Beside Me,"Do Mi-sol is a single mother who gave birth when she was a teenager and raised her son alone after her boyfriend dumped her. Years later, she falls in love with a kind-hearted man.",SBS TV,_,"Romance, Family, Drama",_,_,"May 7 –
October 23, 2011",_,"Lee So-yeon, Lee Jae-yoon, On Joo-wan",Kim Sa-kyung,Han Jung-hwan,50,2011,_
My Love Eun Dong,"Beloved Eun Dong, Minha Amada Eun Dong, Saranghaneun Eundonga, This is My Love, Моя любовь Ын Дон","Eun Ho, a famous South Korean actor, has spent 20 years searching for his first love, Eun Dong, who vanished after their brief teenage friendship. They reunite a decade later and start dating, but she disappears again. Another ten years pass, and Eun Ho, now a star, writes a book to find her. Meanwhile, Eun Dong, living under a new identity after losing her memories in a tragic accident, is hired to  ghostwrite his book. As she works on it, she uncovers secrets that begin to unravel her past.

(Source: MyDramaList)    Edit Translation         English     Русский     Español     Português (Brasil)",jTBC,South Korea,"Romance, Life, Drama",7.8,5549,29/05/2015,"Amnesia, First Love, Love Triangle, Time Skip, Meet Again, Older Man/Younger Woman, Disability, Rich Male Lead, Separated Lovers, Ghostwriter Female Lead","Joo Jin Mo, Kim Sa Rang, Kim Tae Hoon, Kim Yoo Ri, Kim Yun Seo, Seo Kab Sook",_,_,_,_,_
My Love Eun Dong: The Beginning,Saranghaneun Eundonga: Deo Bigining,My Love Eun Dong: The Beginning is a web-drama that will show more about the love of the main characters of My Love Eun Dong during their mid-teens and mid-twenties.      Edit Translation         English     magyar / magyar nyelv     dansk     Norsk,Naver TV Cast,South Korea,"Romance, Youth",7.9,975,18/05/2015,"Orphan Female Lead, Meet Again, Time Skip, Older Man/Younger Woman, Miniseries, Web Series, Motorcycle Accident, Young Adult Female Lead, Young Adult Male Lead, Teenager Female Lead","Baek Sung Hyun, Yoon So Hui, Park Jin Young, Lee Ja In, Joo Jin Mo, Kim Sa Rang",_,_,_,_,_
My Love from the Star,"Byeoleseo On Geudae, Byeoleseo On Namja, Man From Another Star, Man From The Stars, My Love from Another Star, My Lover From The Stars, You Came From the Stars, You From Another Star, You Who Came from the Stars, 별에서 온 남자","Do Min Jun is an alien who landed on Earth 400 years ago during the Joseon Dynasty. He possesses a near-perfect appearance and enhanced physical abilities involving his vision, hearing and speed. Later, he discovers that he has three months left on Earth. And that is when he meets Cheon Song I, the biggest Hallyu star in Korea.

(Source: Amazon.com)      Edit Translation         English     ภาษาไทย     Arabic     Русский",SBS,South Korea,"Comedy, Romance, Drama, Supernatural",8.5,95584,18/12/2013,"Interspecies Romance, Sassy Female Lead, Time Manipulation, Superhuman Strength, Star Crossed Lovers, Smart Male Lead, Airhead Female Lead, Rich Male Lead, Spoiled Female Lead, Opposites Attract","Jun Ji Hyun, Kim Soo Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan",Park Ji-eun,"Jang Tae-yoo, Oh Chung-hwan",21 (+1 special),"2013, 2014",_
My Love Patzzi,"Meu Amor, Patzzi, My Feisty Girl, My Love Cindy, Nae Sarang Patjwi, Nae-sarang patjwi","Song Yi is a girl with a pure heart but a bad temper. She was tricked and humiliated by her ""best friend"" Hee Won as a child. From then on, Hee Won has always been the princess and successful while everyone mistook Song Yi for the evil child. When Song Yi did not have a job, Hee Won introduced her to the amusement park that she was in charge of. There she  found her childhood friend and ex-crush Hyun Sung, who Hee Won had ""stolen"" when they were kids. 

From then on, Hee Won tried to humiliate Song Yi many times, framing her in many situations that Hee Won has created herself. To get back at Hee Won, she decided to break the train that the park was launching so that Hee Won would be blamed. Little did she know that she had caused more damage and that the train had caught on fire. What was worse was that the son of the president of the park was on the train.

Ridden with guilt, Song Yi risks her own life to save the life of Seung Joon. Seung Joon fell in love with Song Yi for her brave spirit and charming attitude, but what will happen to their relationship when Hee Won exposes to the world what she has done?    Edit Translation         English     Español     magyar / magyar nyelv     dansk",MBC,South Korea,"Romance, Drama",6.9,1264,26/08/2002,"Cardiovascular Disease, Amusement Park Setting, Sabotage, Sassy Female Lead, Miniseries, Love Triangle, Friendship","Jang Na Ra, Kim Rae Won, Kim Jae Won, Hong Eun Hee, Kim Gyung Shik, Kang Rae Yeon",Kim Yi-young,Lee Jin-suk,10,2002,_
My Love Toram,_,"Jeon Sook-yeon (Ha Hee-ra) is happily married with two children, but becomes blind in an accident. At first in despair, she finds new hope to live again through the help of her guide dog, Toram.",Seoul Broadcasting System,_,Drama,_,_,"January 7, 2005",_,Ha Hee-ra,Yoon Young-mi,Han Jung-hwan,2,2005,_
My Lovely Boxer,"Minha Adorável Boxeadora, My Lovely Boxer, Kwonsook, Pure Boxer, Pure Boxer Lee Kwon Suk, Sunjeongbokseo, Sunjeongbokseo Ikwonsuk, Невинный боксер, 純情拳擊手, 순정복서 이권숙","Kim Tae Young is a cold-blooded sports agent. He draws talented players into the sports field and makes as much money from them in a short period of time, before they burn out. One of his clients is Kim Hee Won. He is an excellent baseball pitcher and, unlike his other clients, he also means something to Kim Tae Young. For Kim Hee Won, who is in a difficult situation, Kim Tae  Young receives a task to bring female boxer Lee Kwon Sook  back to the boxing ring. 3 years ago, Lee Kwon Sook emerged as an elite boxer at the age of 17. She was undefeated in all of her matches and she brought popularity to the sport. Suddenly, Lee Kwon Sook disappeared. For Kim Hee Won, Kim Tae Young approaches Lee Kwon Sook, who has started a new life away from boxing.

(Source: AsianWiki)

~~ Adapted from the novel ""Sunjeongbokseo Ikwonsuk"" (순정복서 이권숙) by Choo Jong Nam (추종남).    Edit Translation         English     中文(台灣)     Русский     Türkçe",KBS2,South Korea,"Romance, Youth, Drama, Sports",7.8,3335,21/08/2023,"Boxer Female Lead, Boxing, Age Gap [Real Life], Age Gap [Drama Life], Competition, Selfish Parent, Cruel Male Lead, Bickering Mains' Relationship, Former Athlete Supporting Character, Former Athlete Female Lead","Lee Sang Yeob, Kim So Hye, Park Ji Hwan, Kim Hyung Mook, Ha Seung Ri, Kim Jin Woo",Kim Min-joo,"Choi Sang-yeol, Hong Eun-mi",12,2023,_
My Lovely Girl,"Minha Garota Adorável, My Lovable Girl, Naegen Neomu Sarangseureoun Geunyeo, She's so Lovable, Song For You, Song po yu, The Woman Who’s So Lovable to Me, Too Lovely a Girl for Me, Too Lovely Girl For Me, Слишком прекрасна для меня, 송 포 유","Lee Hyun Wook is the composer and producer of an entertainment company. After losing his girlfriend in an accident, he then meets and falls in love with his girlfriend's younger sister, Yoon Se Na, who dreams of becoming a music producer.      Edit Translation         English     Русский     Español     Português (Brasil)",SBS,South Korea,"Music, Romance, Drama",6.8,10423,17/09/2014,"Older Man/Younger Woman, Composer Male Lead, Record Producer Female Lead, Record Producer Male Lead, Musician Male Lead, Age Gap [Drama Life], Age Gap [Real Life], Chasing a Dream, Music Industry, Entertainment Industry","Rain, Krystal Jung, L, Cha Ye Ryun, Lee Ho Won, Kim Gi Bang",Noh Ji-seol,Park Hyung-ki,16,2014,_
My Lovely Journey,"I Will Take the Trip for You, I Will Travel For You, I'll Take the Trip for You, Yeohaengeul Daesinhae Deuribnida","It depicts the story of Kang Yeo Reum, a former idol who has never been a center in her life, and her journey to find true success and the meaning of life as a travel reporter who goes on trips on behalf of others. The drama captures beautiful sceneries of various travel destinations and provides heartwarming stories and healing for viewers.

Kang Yeo Reum is a former girl group member who has  now been a reporter for a travel program called “One Day Travel” for five years. Despite being known as the icon of positivity and optimism at work, Kang Yeo Reum hides anxiety about the future behind her happy façade. 

O Sang Sik is the CEO of Ogu Entertainment, the agency that Kang Yeo Reum has signed with. Born as the youngest son of a family of doctors, O Sang Sik went through a lot of ups and downs in his life, from being a boxer to a CEO of an entertainment company. Feeling responsible for bringing Yeo Reum into the entertainment industry, Sang Sik has maintained a close relationship with her for over 15 years.

(Source: Soompi)

~~ Adapted from the novel ""Tabiya Okaeri"" (旅屋おかえり) by Harada Maha (原田マハ).    Edit Translation         English     Русский     Français     हिन्दी",Channel A,South Korea,"Adventure, Romance, Life, Drama",7.4,1998,02/08/2025,"Healing, Traveling, Friendship, Former Celebrity Female Lead, Reporter Female Lead, Entertainment Industry, Director Male Lead, Secondary Couple, Company President (CEO) Male Lead, Adapted from a Novel","Gong Seung Yeon, Yoo  Joon Sang, Kim Jae Yeong, Hong Soo Hyun, Oh Hyun Joong, Yoo Ji Yeon",Jung Hoe-hyun,Kang Sool,10,2025,_
My Lovely Liar,"Meu Adorável Mentiroso, Soyongeobseo Geojismal, Useless Lies, Дорама Бесполезная Ложь, Мій милий брехун, שקרן מקסים שלי, حبيبي الكاذب","Mok Sol Hee is a young woman with the supernatural ability to hear people’s lies, leaving her disillusioned and distrustful of others. Her outlook changes when she meets Kim Do Ha, a music producer hiding next door after becoming embroiled in a murder case. As she discovers that her ability doesn't work on him, she becomes intrigued by the mysterious man. But will she uncover the secrets of his heart?

(Source: MyDramaList)      Edit Translation         English     ภาษาไทย     Arabic     עברית / עִבְרִית",tvN,South Korea,"Mystery, Comedy, Romance, Supernatural",8.2,35683,31/07/2023,"Human Lie Detector, Psychic Female Lead, Neighbors' Relationship, Musician Male Lead, Supernatural power, Hidden Identity, Friendship, Talented Male Lead, Nice Male Lead, Character Development","Kim So Hyun, Hwang Min Hyun, Seo Ji Hoon, Yun Ji On, Lee Si Woo, Nam Hyun Woo",Seo Jeong-eun,Nam Sung-woo,16,2023,_
My Lovely Sam Soon,"Minha Adorável Sam Soon, My Lovely Kim Sam Soon, My Lovely Kim Sam Sun, My Lovely Sam Sun, My Name is Kim Sam Soon, My Name Is Kim Sam Sun, Nae Ireumeun Kim Sam Soon, Nae Ireumeun Kim Sam Sun, Nae Ireumeun Kim Samsoon, Nae Ireumeun Kim Samsun, Nazywam się Kim Sam-Soon, Меня зовут Ким Сам Сун","Kim Sam Sun is a baker who has a talent for making pastries and cakes. On Christmas Eve, she catches her boyfriend, Min Hyeon U, cheating on her and breaks up. On that same night, she meets Hyun Jin Heon, the owner of a restaurant called Bon Appetit. By sheer coincidence, Jin Heon needs a baker for his restaurant, and Sam Sun is unemployed. Sam Sun is hired as the restaurant's chief  baker, and the two fight like cats and dogs.

(Source: DramaWiki)

~~ Adapted from the novel ""My Name Is Kim Sam Soon"" (내 이름은 김삼순) by Ji Soo Hyun (지수현).    Edit Translation         English     Русский     हिन्दी     Polski",MBC,South Korea,"Food, Comedy, Romance, Drama",7.9,16825,01/06/2005,"Love Triangle, Rich Man/Poor Woman, Older Woman/Younger Man, Boss-Employee Relationship, Female Chases Male First, Contract Relationship, Family Pressure, Mean Male Lead, Slow Burn Romance, Character Development","Kim Sun Ah, Hyun Bin, Jung Ryeo Won, Daniel Henney, Kim Ja Ok, Lee Ah Hyun",Kim Do-woo,Kim Yoon-cheol,16,2005,_
"My Lover, Madame Butterfly","My Love, Madame Butterfly, My Love, Butterfly Lady, My Love, Wife Na-bi","Nam Na-bi (nabi means ""butterfly"" in Korean) was once a top star, whose less-than-stellar acting ability was overlooked thanks to her beauty and killer fashion sense, which afforded her immense popularity. However, the tide started to change when she got caught up in numerous incidents damaging her image. Stories of her haughtiness, vanity, rude speech, and difficulty spread and she lost all that favor and became infamous instead. The drama begins as Na-bi embarks on a new phase of her life after fame, fortune, and anti-fans: marriage. As a new bride to a mysterious husband, she moves in with her in-laws and becomes part of their family, where a new set of troubles and life lessons await her.",SBS TV,_,"Romance, Family, Comedy, Drama",_,_,"October 6, 2012 –
April 7, 2013",_,"Yum Jung-ah, Park Yong-woo, Kim Sung-soo, Yoon Se-ah",Moon Eun-ah,Lee Chang-min,51,"2012, 2013",_
My Man Is Cupid,"My Boyfriend Is Cupid, Nae Namjaneun Kyupideu","Cheon Sang Hyuk, a charming fairy whose wings were burned 500 years ago, undergoes 27 metamorphoses to restore them. On his 28th attempt, he meets Oh Baek Ryun, a veterinarian. Baek Ryun is beautiful but has a history of men falling for her, only to experience near-death and flee. Despite her unlucky love life, she longs to find her destined partner.

(Source: MyDramaList)      Edit Translation         English     ภาษาไทย     Русский     Українська",Amazon Prime,South Korea,"Mystery, Comedy, Romance, Fantasy",7.9,14744,01/12/2023,"Cupid, Interspecies Romance, Fairy Male Lead, Reincarnated Lovers, Veterinarian Female Lead, Unlucky Female Lead, Past Life, Death, Reincarnation, Detective Male Lead","Jang Dong Yoon, Nana, Park Ki Woong, Moon Ji Hoo, Park Myung Hoon, Eom Se Ung",Heo Sung-hee,Nam Tae-jin,16,"2023, 2024",_
My Merry Marriage,_,_,KBS1,_,"Family, Romantic comedy",_,_,"October 7, 2024 –
April 8, 2025",_,"Park Ha-na, Park Sang-nam, Kim Sa-kwon, Lee Yeon-doo, Park Tam-hee, Lee Eun-hyung",Song Jung-rim,Kim Sung-geun,125 + 3 Special,"2024, 2025",_
