title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
Dummy Mommy,"Stupid Mom, Foolish Mom","Kim Young-joo is a genius with an IQ of 200 and the youngest editor of a fashion magazine. Constantly embarrassed and ashamed of her sister's developmental disability and suffocated by her affection, Young-joo leaves home and runs away to get married. But after she gives birth to her own daughter and becomes a mother herself, Young-joo begins to see her life and family differently.",SBS TV,_,"Family, Drama, Comedy",_,_,"17 March –
20 May 2012",_,"Kim Hyun-joo, Ha Hee-ra",Park Kye-ok,Lee Dong-hoon,20,2012,_
Durian's Affair,Mrs. Durian,"Two women from a noble family in the Joseon period get entangled with men through time travel to the year 2023, the present.",TV Chosun,_,"Fantasy, Melodrama, Romance",_,_,"June 24 –
August 13, 2023",_,"Park Joo-mi, Choi Myung-gil, Kim Min-jun, Han Da-gam, Jeon No-min, Yoon Hae-young, Ji Young-san, Yoo Jung-hoo, Lee Da-yeon",Im Sung-han,"Shin Woo-cheol, Jung Yeo-jin",16,2023,_
Duty After School,_,Duty After School tells the story of the senior students at Sungjin High School as they are conscripted to fight against the attack of a group of mysterious creatures that have covered the sky.,TVING,_,"Military sci-fi, Thriller, Dystopian, Teen drama",_,_,"March 31 –
April 21, 2023",_,"Shin Hyun-soo, Lee Soon-won, Im Se-mi, Kwon Eun-bin, Kim Ki-hae, Kim Min-chul, Kim So-hee, Kim Su-gyeom, Kim Jung-lan, Moon Sang-min, Shin Myung-sung, Shin Su-hyun, Shin Hye-ji, Ahn Da-eun, Ahn Do-gyu, Yeo Joo-ha, Oh Se-eun, Woo Min-gyu, Yoon Jong-bin, Lee Yeon, Ji Min-hyuk, Choi Moon-hee, Hong Sa-bin, Hwang Se-in",Yoon Soo,Sung Yong-il,10,2023,_
Duty after School: Part 1,"After School War Activities, Afterschool Military Activity 1, Afterschool War Activities 1, Banggwa Hu Jeonjaenghwaldong 1, Banggwa Hu Jeonjaenghwaldong Pateu 1, Banggwa Hu Jeonjaenghwaldong Sijeun 1, Dever Após a Escola, Duty After School, Duty After School 1, Duty After School Season 1, Обязанности после школы, Служба після уроків, واجب ما بعد المدرسة, 방과 후 전쟁활동 시즌1, 방과 후 전쟁활동1","Sungjin High School is thrust into chaos as an alien invasion begins, unleashing violent insect-like creatures worldwide. With the South Korean military overwhelmed, mandatory conscription is imposed on all third-year high schoolers, forcing them to undergo military training while facing impending university exams. Platoon leader Lee Chun Ho guides them through rifle shooting, combat, and obstacle courses, all in their school uniforms. Class teacher Park Eun Young strives to protect her students.  Can these high schoolers become saviors in the face of global doom?

(Source: MyDramaList)

~~ Adapted from the webtoon ""Duty After School"" (방과 후 전쟁활동) by Ha Il Kwon (하일권).    Edit Translation         English     한국어     Arabic     Українська",TVING,South Korea,"Action, Thriller, Drama, Sci-Fi",8.6,25397,31/03/2023,"Military, High School, Survival, Supernatural Phenomena, Apocalypse, Leadership, Monster, War, Bully Male Lead, Student Female Lead","Shin Hyun Soo, Lee Soon Won, Kim Ki Hae, Choi Moon Hee, Kim Su Gyeom, Lee Yeon",_,_,_,_,_
Duty after School: Part 2,"Afterschool Military Activity 2, Afterschool War Activities 2, Banggwa Hu Jeonjaenghwaldong 2, Banggwa Hu Jeonjaenghwaldong Pateu 2, Banggwa Hu Jeonjaenghwaldong Sijeun 2, Dever Após a Escola: Parte 2, Duty After School 2, Duty After School Season 2, 방과 후 전쟁활동 시즌2, 방과 후 전쟁활동2","Story of 3rd year students of Sungjin High School who started a 'real war' to fight against the attack of a mysterious creature that covered the sky. Will they be able to save the planet from doom?

(Source: MyDramaList)

~~ Adapted from the webtoon ""Duty after School"" (방과 후 전쟁활동) by Ha Il Kwon (하일권).      Edit Translation         English     한국어     हिन्दी     magyar / magyar nyelv",TVING,South Korea,"Action, Thriller, Drama, Sci-Fi",7.6,19220,21/04/2023,"Teamwork, Military, Survival, Monster, Supernatural Being, Outerworld Invasion, Multiple Mains, Supernatural Phenomena, Student Female Lead, Student Male Lead","Kim Ki Hae, Choi Moon Hee, Kim Su Gyeom, Lee Yeon, Kwon Eun Bin, Moon Sang Min",_,_,_,_,_
Dynamite Kiss,"Kissing for Nothing!, She Shouldn't Have Kissed",A love story between a single woman who pretends to be a mother to earn a living and the team leader who falls in love with her.,SBS TV,_,"Workplace, Romance drama",_,_,_,_,"Jang Ki-yong, Ahn Eun-jin","Ha Yoon-ah, Tae Kyung-min",Kim Jae-hyun,_,_,_
Earth Arcade,"An Untitled PD Na Young Seok Project, Bbyong Bbyong Earth Arcade 1, Bbyong Bbyong Earth Arcade Season 1, Bbyongbbyong Jiguoraksil 1, Bbyongbbyong Jiguoraksil Sijeun 1, Earth Arcade 1, Earth Arcade Season 1, 뿅뿅 지구오락실1","Four warriors who gathered to catch the moon rabbit who fled to Earth! A new concept hybrid multiverse action adventure variety that unfolds across time and space begins!

(Source: Naver)      Edit Translation         English     한국어     magyar / magyar nyelv     עברית / עִבְרִית",tvN,South Korea,"Action, Adventure, Comedy",8.7,1110,24/06/2022,"Game Show, Variety Show, Ive (Group), IZ*ONE, Oh My Girl, Reality Show","Ahn Yu Jin, Mimi, Lee Young Ji, Lee Eun Ji, Kim Hae Jun",_,_,_,_,_
East of Eden,"Ao Leste do Paraíso, Edenui Dongjjok, Edenui Dongjjuk, Edeonui Dongjjok, К востоку от рая, 伊甸園之東","The drama will be about two men whose fates are crossed from the very first day that they were born. Both men were born in the same hospital. When he was five years old, Lee Dong Cheol witnessed the death of his father. From then on, he promised to seek revenge on the man who caused his father's death, Sin Tae Hwan. 

But unbeknownst to everybody is the fact that Dong Cheol's  younger brother, Dong Uk, was switched at birth with Tae Hwan's son, Myeong Hun. Dong Uk grows up to become a prosecutor and vows to help his brother seek revenge. But what happens when they find out that they're not brothers? What will Dong Cheol do when he finds out that his real brother was raised by Sin Tae Hwan and that the brother that was beside him all these years is the son of his enemy?    Edit Translation         English     Русский     magyar / magyar nyelv     dansk",MBC,South Korea,"Romance, Drama, Family, Melodrama",7.6,1604,25/08/2008,"Older Man/Younger Woman, Rape, Crime Against Morality, Sexual Violence, Age Gap [Real Life], Brothers' Relationship, Soap Opera, Multi-Generational, Hidden Identity, switched at birth","Song Seung Heon, Lee Yun Hee, Park Hae Jin, Han Ji Hye, Yeon Jung Hoon, Lee Da Hae",_,_,_,_,_
East of Eden (South Korean TV series),_,"A period epic that spans the years 1960 to 2000s, East of Eden tells a saga of the bitter rivalry between two men who are eternally bound by fate. Historic events are referenced, such as the rapid industrialization of the 1970s and 1980s, Taebaek coal miners' strikes and student-led democracy movements.",MBC TV,_,"Action, Romance",_,_,"August 25, 2008 –
March 10, 2009",_,"Song Seung-heon, Yeon Jung-hoon, Lee Da-hae, Han Ji-hye, Lee Yeon-hee, Park Hae-jin","Na Yeon-sook (Ep.1 - Ep.35, Ep.37 - Ep.56), Lee Hong-ku(Ep. 36)","Kim Jin-man, Choi Byeong-kil",56,"2008, 2009",_
Eccentric Romance,"Bizarre Romance, Giihan Romaenseu, Pitwi (PT) Neun Sarang, PT is Love, Romance Excêntrico, Дивний роман, 기이한로맨스, 피튀(PT)는 사랑","Jay, an international student from Thailand, comes to Korea to see his friend Seong Hun. The two enrolled in the same college class called  ""Health and Happiness"" and need to submit a physical body assessment for their final project. While Seong Hun already works out regularly, Jay isn't in the greatest shape and struggles in the gym. Enter Jin Uk, a personal trainer who takes a special interest in Jay, much to  Seong Hun’s displeasure. However, there's something strange about Jin Uk. Despite his kindness toward Jay, suspicions begin to rise that Jin Uk may be involved in a murder and missing person incident. Is there a happy ending in store for Jay and Seong Hun, or will Jay's budding relationship with Jin Uk cost him an unspeakable price? 

(Source: Viki)    Edit Translation         English     Українська     Türkçe     magyar / magyar nyelv",_,South Korea,"Mystery, Comedy, Romance, Youth",6.6,3154,10/10/2024,"School Setting, Gay Male Lead, Short Length Series, Gay Romance, Multilingual, Jealous Male Lead, Co-produced, University, LGBTQ+, Death","Yoon Jun Won, Save Saisawat, Lee Geon U, Go Byung Wan, Kim Tae Ha",_,_,_,_,_
